name,url,remote_support,adaptive_support,test_types
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,True,True,"['C', 'P', 'A', 'B']"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,True,True,"['A', 'K', 'P']"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,True,True,"['A', 'B', 'P', 'S']"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"['B', 'P']"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"['B', 'P']"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"['A', 'B', 'K', 'P']"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"['A', 'B', 'P']"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"['A', 'B', 'P', 'S']"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"['B', 'P', 'S', 'A']"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"['P', 'S', 'K', 'B', 'A']"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,True,False,"['A', 'B', 'P']"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,True,True,"['B', 'A', 'P']"
